Cliente,movil,responsable,direccion,cp,poblacion,provincia,n_socios,horario,Proxima visita ,email,tel_centro
ALBAL JUBILADOS,961 269 817,,,,,,,,,,
ALBALAT JUBILADOS,689627822,,,,,,,,,,
ALBORAIA JUBILADOS,650696453,Antonia,,,,,,,,,
ALBUIXECH Jubilados,,,,,,,,,,,
ALCACER JUBILADOS,961 241 874,,,,,,,,,,
ALCIRA Jubilados Jucar,650 936 907 /649 879 801,Raül/ Paco,"Santos Patronos ,9",46600,Alzira ,Valencia ,600,todos ,"15/12/2025, 11:15:00",,
ALCORA ALCALATEN JUB.,964361903,,,,,,,,,,
ALDAIA JUBILADOS,606330415,,,,,,,,,,
Algemesi jubilados,610 953 359 /96 242 25 61,Miguel Angel,,,,,,,,jubilatsalgemesi@gmail.com,
Alginet Jubilados,661636711,Ximo,,,,,,,,,
ALPUENTE,638 725 227,Maria,,,Alpuente,Valencia,,,,,
ALZIRA ANTONIA CERDA JUB.,962400316,,,,,,,,,,
ALZIRA ESCUELAS PIAS JUB.,962418340,,,,,,,,,,
ALZIRA PEDRO GARCIA JUB.,962017627,,,,,,,,,,
Arrancapins,613 000 148,Luis Mico,Historiador Diago,,Valencia,,,,"16/12/2025, 13:00:00",,
ASTILLEROS JUBILADOS,963725250,,,,,,,,,,
ATENEO,963520488,,,,,,,,,,
BARX,629049486,,,,,,,,,,
BENAGUASIL JUBILADOS,615645830,,,,,,,,,,
Benicassim jubilados,,,,,,,,,,,
BENIFAIO JUBILADOS,681180233,,,,,,,,,,
BORRIOL,,,,,,,,,,,
CALVARI,,,,,,,,,,,
CASTELLAR OLIVERAL JUB.,96 396 04 30,,,,,,,,,,
Centro Mayores Cullera,628914036,Carmen y Janin,,,,,,,,,
centro social 9 de octubre Manises,625 052 312/961 522 200,Mª Paz,,,,,,,,centrosocial9deoctubre@gmail.com,
CHELVA amas de casa,,,,,,,,,,,
CHELVA JUBILADOS,962109176,,,,,,,,,,
Club Convento Sueca,,club convento sueca,,,,,,,,,
COFRENTES,,,,,,,,,,,
CORBERA JUBILADOS,962560068,,,,,,,,,,
Cruz Cubierta Jub.,679334071,cruz Cubierta Jub.,,,,,,,,,
EIBAR,,,,,,,,,,,
Foios jubilados,625 300 123,Patro,,,,,,,,,
Font d´Encarros jubilados,666 78 33 17,Ricardo Peiro,,,,,,,,ricardo.peiro@hotmail.com,
GANDIA LA RAVAL A/C,680352043,,,,,,,,,,
Godella Amas de casa,618 951 690,Carmen,,,,,,,,,
JORGE JUAN JUBILADOS,961 207 675,,,,,,,,,,
La fabrica jubilados,963 838 747,xxxx,,,,,,,,,
LA FORTALEZA,,,,,,,,,,,
La Pobla de Farnals Jub.,,Pepe,,,,,,,,,
La Yesa jubilados,659 099 792,Maribel,,,,,,,,,
LLOMBAI JUBILADOS,,,,,,,,,,,
MARCHALENES JUBILADOS,,,,,,,,,,,
Massalfasar jubilados,691 554 802,Amparo Carmen,,,,,,,,jubiladosmassalfasar@gmail.com,
MASSAMAGRELL Jubilados,,,,,,,,,,,
MATILDE TORRENTE,,,,,,,,,,,
MIGUEL PRAYOLS,,,,,,,,,,,
MISLATA A/V,,,,,,,,,,,
MISLATA JUBILADOS,963793194,,,,,,,,,,
MONCADA Amas de casa,635852840,,,,,,,,,,
MONCADA ASOC. ANDALUZA,961391916,,,,,,,,,,
MONCADA ENTREAMIGOS JUB.,961300188,,,,,,,,,,
MONCADA JUB.,961392558,,,,,,,,,,
MONTE PIO PORTUARIO,963676414,,,,,,,,,,
