;PETICIONES GRUPO;;CIRCUITO CONFIRMADO EN PROCESO;;CIRCUITO TERMINADO;;;;;;
;;;;;ENERO-FEBRERO-MARZO-ABRIL ;;;;;;
;Grupo;ARRANCAPINS;VIVEROS;a/c Godella ;A/C XERACO ;ALPUENTE ;A/C PUIG ;PUZOL;A/C GODELLA ;ALBIR;
;DESTINO;LA ALCARRIA;BENICARLO;ENAMORADOS ;ENAMORADOS GRANADA;BENIDORM;BULGARIA;CARNAVALES;CANTABRIA;MAYO;
;Fecha;DEL 16 AL 18 ENERO;25 DE ENERO;HOTEL EN SALOU;13 AL 15 FEBRERO;15AL 20 FEBRERO ;;14 AL 17 FEBRERO;31/05AL 05/06;GALICIA ;
;Hotel;;CASA TERE;;HOTEL ABADES;HOTEL AVENIDA;;HOTEL EN JEREZ;HOTEL OLIMPO 4****;;
;GUIA;;;;;;;;;;
;PLAZAS A HOY;34 pax;15+10pax;15 pax;25pax;;;34pax;20 pax;;
;BUS ;Rutas Rodriguez ;;;;;;;;;
;KILOMETROS;;;;;;;;;;
;PRECIO BUS;2.000 €;;;;;;;;;
;1ºRESTAURANT;;;;;;;;;;
;2ºRestaurant;;;;;;;;;;
;3ºRestaurant;;;;;;;;;;
;Entradas;;;;;;;;;;
;Guias  locales;;;;;;;;;;
;OBSER.;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;2º TRIM.;ABRIL - MAYO - JUNIO 2026;;;;;;
;GRUPOS;Vilamarxant;ALBIR;;;;;;;;
;DESTINO;;GALICIA;;;;;;;;
;Fecha;;DEL 01 AL 07 DE JUNIO;;;;;;;;
;Hotel;;;;;;;;;;
;GUIA;;;;;;;;;;
;PLAZAS;;;;;;;;;;
;BUS ;;;;;;;;;;
;KILOMETROS;;;;;;;;;;
;PRECIO BUS;;;;;;;;;;
;1º REST.;;;;;;;;;;
;2º REST.;;;;;;;;;;
;3º REST.;;;;;;;;;;
;Entradas;;;;;;;;;;
;Guias  locales;;;;;;;;;;
;OBSER,;;;;;;;;;;
;;;;;;;;;;;
;;;; 2º TRIM.; ABRIL MAYO - JUNIO  2026;;;;;;
;Grupo;;;;;;;;;;
;DESTINO;;;;;;;;;;
;Fecha;;;;;;;;;;
;Hotel;;;;;;;;;;
;GUIA;;;;;;;;;;
;PLAZAS;;;;;;;;;;
;BUS ;;;;;;;;;;
;KILOMETROS;;;;;;;;;;
